start,end,duration_seconds,duration_minutes,app,device_id
2026-04-08T07:02:30.683097+02:00,2026-04-08T07:02:34.266853+02:00,3,0.05,com.apple.mobilecal,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T07:03:07.357883+02:00,2026-04-08T07:05:04.325564+02:00,116,1.93,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T07:05:46.353762+02:00,2026-04-08T07:06:15.195820+02:00,28,0.47,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T07:59:55.441425+02:00,2026-04-08T07:59:59.105200+02:00,3,0.05,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T08:53:27.082356+02:00,2026-04-08T08:53:40.720707+02:00,13,0.22,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T08:53:47.571934+02:00,2026-04-08T08:53:47.586751+02:00,0,0.0,com.apple.camera,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T08:54:13.182923+02:00,2026-04-08T08:55:29.606462+02:00,76,1.27,com.apple.PosterBoard,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:00:47.016978+02:00,2026-04-08T09:01:25.872258+02:00,38,0.63,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:04:44.541176+02:00,2026-04-08T09:05:15.825663+02:00,31,0.52,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:15:05.228216+02:00,2026-04-08T09:15:08.367335+02:00,3,0.05,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:17:47.851629+02:00,2026-04-08T09:17:54.926032+02:00,7,0.12,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:17:54.944545+02:00,2026-04-08T09:18:02.812808+02:00,7,0.12,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:28:08.321167+02:00,2026-04-08T09:28:12.258845+02:00,3,0.05,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:29:42.848581+02:00,2026-04-08T09:29:50.322338+02:00,7,0.12,com.spotify.client,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:29:55.337846+02:00,2026-04-08T09:30:00.685274+02:00,5,0.08,com.spotify.client,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:30:00.710664+02:00,2026-04-08T09:30:07.505547+02:00,6,0.1,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T09:30:07.526900+02:00,2026-04-08T09:32:20.976894+02:00,133,2.22,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
